,Account Name Cleaned,Company Name Cleaned,Similarity,T/F
137,galesburgaugusta community schools,galesburg  augusta community schools,0.979,False
138,capita it services,capital services,0.952,False
139,capita it professional services,professional capital services,0.975,False
140,onondaga county,county of onondaga,0.959,False
141,heritage bank,heritage bank na,0.952,False
142,office of personnel management,us office of personnel management,0.977,False
143,caldwell community college and technical institute,caldwell community college  technical institute,0.984,False
144,built in,built,0.964,False
145,tenova,enova,0.953,False
146,nova engineering and environmental,nova engineering  environmental,0.977,False
147,tes 2000,i 2000,0.979,False
148,tes engineering,es engineering,0.976,False
149,goldbelly,goldbely,0.963,False
150,northwest news,northwest news co,0.982,False
151,goldwater bank na,goldwater bank,0.966,False
152,northstar technologies it,northstar technologies,0.984,False
153,ten thousand villages us,ten thousand villages,0.971,False
154,texas health and human services commission,texas health  human services commission,0.978,False
155,texas state bar,state bar of texas,0.956,False
156,brown and caldwell,brown  caldwell,0.956,False
157,brown  brown of ny,p b brown,0.951,False
158,texcel,excel,0.964,False
159,goodwill olympics  rainier region,goodwill of the olympics  rainier region,0.956,False
160,goodwilleaster seals minnesota,goodwill  easter seals minnesota,0.987,False
161,the academy of notre dame de namur,academy of notre dame de namur,0.967,False
162,brookfieldlagrange park school district 95,brookfield lagrange park school district 95,0.97,False
163,brookdale university hospital and medical center,brookdale university hospital  medical center,0.983,False
164,northshore university health system,northshore university healthsystem,0.968,False
165,tate engineering,ata engineering,0.978,False
166,bumble and bumble,bumble,0.978,False
167,bureau of safety and environmental enforcement,bureau of safety  environmental enforcement,0.985,False
168,calbright college,albright college,0.977,False
169,oc tanner co,oc tanner,0.954,False
170,cadaret grant,cadaret grant  co,0.97,False
171,cadan technologies,ada technologies,0.955,False
172,teamlogicit,teamlogic it,0.956,False
173,ca industries,d b industries,0.954,False
174,tec systems,tech systems,0.968,False
175,tech 2000,i 2000,0.962,False
176,nyc department of health and mental hygiene,nyc department of health  mental hygiene,0.983,False
177,npex,inpex,0.968,False
178,gigatronics,giga  tronics,0.966,False
179,giii,iii,0.964,False
180,technology services,technology service,0.98,False
181,bwin,bwi,0.969,False
182,bwi it,bwi,0.954,False
183,buyers product company,buyers products company,0.973,False
184,girl scouts of the green and white mountains,girl scouts of the green  white mountains,0.978,False
185,gkvi,gkv,0.958,False
186,telerad,tele  rad,0.954,False
187,ns international,r l e international,0.963,False
188,nvision,invision,0.966,False
189,muscatine power and water,muscatine power  water,0.96,False
190,murraycalloway county hospital,murray  calloway county hospital,0.952,False
191,tricounty health department,tri  county health department,0.985,False
192,aret associates,arete associates,0.979,False
193,mequonthiensville school district,mequon  thiensville school district,0.99,False
194,mep engineering,ep engineering,0.967,False
195,arca worldwide,arc worldwide,0.975,False
196,innovation academy,academy of innovation,0.969,False
197,vanguard systems,vanguard id systems,0.959,False
198,arc construction,arco construction,0.981,False
199,vantage,vantage ic,0.951,False
200,memorial sloankettering cancer center,memorial sloan  kettering cancer center,0.975,False
201,influence  co,influence,0.975,False
202,memorial health system il,memorial health system,0.972,False
203,inova,nova,0.954,False
204,inpi,npi,0.96,False
205,apsilon,capsilon,0.953,False
206,inrs,nrs,0.952,False
207,ve commercial vehicles,commercial vehicle,0.962,False
208,insight,nsight,0.97,False
209,insight investment,insight investments,0.963,False
210,insource services,servicesource,0.954,False
211,applause it,applause,0.966,False
212,aquachem,aqua  chem,0.955,False
213,institute for transportation and development policy,institute for transportation  development policy,0.984,False
214,mesa county co,mesa county,0.969,False
215,arkansas department of transportation,kansas department of transportation,0.97,False
216,associated builders and contractors,associated builders  contractors,0.974,False
217,university of wisconsinmilwaukee,university of wisconsin  milwaukee,0.96,False
218,university of york,york university,0.959,False
219,micrometals,micro metals,0.955,False
220,asquare,square,0.951,False
221,asplundh tree expert co,asplundh tree expert,0.987,False
222,imagine software,imaginesoftware,0.981,False
223,michael weinig,michael weinig ag,0.956,False
224,immaculata high school,immaculate high school,0.964,False
225,arkansas bluecross and blueshield,arkansas blue cross  blue shield,0.965,False
226,miamidade county public schools,miami  dade county public schools,0.974,False
227,in compass health,compass health,0.979,False
228,mettlertoledo international,mettler  toledo international,0.98,False
229,us airconditioning distributors,us air conditioning distributors,0.971,False
230,asante health system,sante health system,0.966,False
231,as systems,ras systems,0.957,False
232,us bureau of reclamation,bureau of reclamation,0.968,False
233,us energy development,u s energy development,0.971,False
234,us nuclear regulatory commission,nuclear regulatory commission,0.98,False
235,armature studios,armature studio,0.96,False
236,upshersmith laboratories,upsher  smith laboratories,0.981,False
237,microtec,microtech,0.959,False
238,media vision,media visions,0.952,False
239,media horizons,horizon media,0.968,False
240,american transport,transport america,0.981,False
